repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
Angelk119/DA2025_Lectures2,main,Mod1/M1L2-Numpy_STUDENT.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,3.063,True,False,78aeb3a276ed24596fbcc257f4c4765d530d4066fd4a2d69badae5fbad30b5f7,,6,0
Angelk119/DA2025_Lectures2,main,Mod2/DataChallenges/Plotly_STUDENT.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.542,True,False,d3e84a77101af5c8bb299710604b21be5e96d5f81b5ddb5644ecf5f11cc2bac7,,3,0
Angelk119/DA2025_Lectures2,main,Mod2/LiveLab_DataChallenges/Experiment.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.349,True,False,4c93db1b2c083b49a9cede5d8ba9209d336c5563c4f84466eb8a1c9491eacb86,,2,0
Angelk119/DA2025_Lectures2,main,Mod2/LiveLab_DataChallenges/LiveLab_DataChallenge_MatplotlibSeaborn-STUDENT.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.425,True,False,762e8b81d97a4f50c51aab8de1b9f7c726688085b2569b4d5d44849cdd26bbf7,,2,0
Angelk119/DA2025_Lectures2,main,Mod4_StatsReview/StatisticsReview_ANSWERS.ipynb,True,python3,python,3.12.4,False,ModuleNotFoundError,,,1.457,True,False,c30206279fe9259fb7e53eb191f2dd739f68d25659be75b04ebd5b0a6fd43788,,10,0
Angelk119/DA2025_Lectures2,main,Mod5/CodeAlongs/Mod5L1_CodeAlong_STUDENT.ipynb,True,python3,python,3.12.4,False,ModuleNotFoundError,,,1.339,True,False,e42fa52698b62d353000b5a4499f361d55467d42debb7b76bcc05d2d611690ac,,1,0
Angelk119/DA2025_Lectures2,main,Mod5/DataChallenges/notebooks/Mod5L1_DC1_STUDENT.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.454,True,False,bd126d54c1ea109a193d430cc956800d164ea76ad67e9b801b4d21289de905c4,,8,0
Angelk119/DA2025_Lectures2,main,Mod5/DataChallenges/notebooks/Mod5L2_DC2_STUDENT.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.34,True,False,f4bbd571cca9e713df93c317480f5f85244b80f6d233394cf4e400700d80732b,,7,0
Anndischeh/Deep-Learning-for-Image-Analysis-Coursework,main,App.ipynb,True,python3,python,3.12.9,True,,,,3.964,True,False,cc08d5f80078f67d52860ee75cd44061c8d50961ca135e0f2f15e4452cd4b28e,579fa97c796912eefd00d02dc8f21af577a4eb365dc16ce19c64a8dc51a18e11,4,4
Cuonghoangit/GeoMineralInsight,main,notebooks/EDA.ipynb,True,python3,python,3.12.0,False,DataSourceError,,,17.582,True,False,d3c5171cdacd17379558a04f9d2e5254cae1e190cf097ab945bd5ab635fbdacc,,14,0
