repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,retry_attempted,retry_success,installed_modules,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
1drie5/py-playground,main,pytorch-campusx/3_pytorch_autograd.ipynb,True,python3,python,,False,RuntimeError,,,3.587,True,False,"torch,torchvision,torchaudio,torchinfo",True,False,9d76aafaf06360f486daaaee285198820d931649b24b8bbdd00edbbe78f5895b,,42,0
1drie5/py-playground,main,pytorch-campusx/4_pytorch_training_pipeline.ipynb,True,python3,python,,False,ModuleInstallFailed,,,0,True,False,pandas,True,False,630e62af614e423ed3783ebd16f3cd8200cf31cc5ed58dd086c77b580c8e5827,,13,0
1drie5/py-playground,main,pytorch-campusx/5_pytorch_nn_module.ipynb,True,python3,python,,True,,,,5.748,False,,,True,False,ac8dd6cac645d6773da254f09bce3b35fbfe5ab9246d69b36c2c9f408b2e3b5c,0e8b33ded25a5636add0b9357c7f90039f9e78a84550e7022e949fa2fb102266,13,18
nizam9985/addx,main,youtubechatbot_using_langchain_with_memory.ipynb,True,python3,python,3.11.9,False,SubprocessError,,,0.031,False,,,True,False,d21471dd00d1a0d5926f43c62f151ad4f0b0b6d924a57f4423b12781f25b5808,,25,0
C4jiang/AlgoPlus,master,RetentionAndVirality.ipynb,True,python3,python,,True,,,,1.411,True,True,"numpy,matplotlib,ipywidgets",True,False,592daf9ca48b2b504ff10fb5dad35883547127c70f8570608eca70e87a54ef7b,6849d53248d2e9dea5c4b87d46894f262c78fda58be7e3e4cbf85624ecca76d7,22,12
NaiqiGuo/mdof,master,notebooks/00_Overview.ipynb,True,python3,python,3.11.11,True,,,,25.565,True,True,mdof,True,False,a401615d985655c79011b0385b4ec9dda4ccc98aa98cba79dc2a6e6b5bec426e,9eac8e25c4352c6047e90675629b3d1d91d05012c9d8dc5c35f2ccbd0096566b,13,9
NaiqiGuo/mdof,master,notebooks/01_SISO_Intro.ipynb,True,python3,python,3.12.0,False,IndexError,,,2.374,False,,,True,False,2023bc288c314d9fb61bd842b143a96f792eb5dcdf6f2ff79946e6b37d23be8e,,15,0
NaiqiGuo/mdof,master,notebooks/02_SISO_Event.ipynb,True,python3,python,3.11.11,False,FileNotFoundError,,,1.921,True,False,scienceplots,True,False,4ee48582eaa3bb7518dc2170de3b08809dc39d4b65ff42d7e41e8ebc4db8297b,,7,0
NaiqiGuo/mdof,master,notebooks/03_SISO_History.ipynb,True,python3,python,3.12.0,False,FileNotFoundError,,,1.955,False,,,True,False,48adc0701975ad2c812a0f6a61ee33f60be764103601bdd3b9d34bdfffceaff6,,3,0
NaiqiGuo/mdof,master,notebooks/04_MIMO_Intro.ipynb,True,python3,python,3.12.5,False,IndexError,,,6.81,False,,,True,False,1fd621a903c9c4c31acc4dbb2b9e6d8a36d2cbdc84b00896abaac884ec95fbe9,,7,0
